"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Ka'imi Fairbairn (HOU)","3","3","100.0","54","0","0","0","1","2","2","2","1","16.0","16.0","2.4%"
"2","Riley Patterson (DET)","3","3","100.0","43","0","0","2","1","0","3","3","1","13.0","13.0","42.8%"
"3","Eddy Pineiro (CAR)","3","3","100.0","47","0","0","2","1","0","3","3","1","13.0","13.0","5.8%"
"4","Daniel Carlson (LV)","3","3","100.0","52","0","0","2","0","1","1","1","1","12.0","12.0","37.9%"
"5","Michael Badgley (DET)","2","3","66.7","49","0","0","0","2","0","4","4","1","12.0","12.0","0.0%"
"6","Jake Elliott (PHI)","2","2","100.0","39","0","1","1","0","0","6","6","1","12.0","12.0","87.2%"
"7","Nick Folk (TEN)","2","2","100.0","51","0","1","0","0","1","3","3","1","11.0","11.0","33.1%"
"8","Harrison Butker (KC)","2","2","100.0","45","0","0","1","1","0","4","4","1","11.0","11.0","91.8%"
"9","Brett Maher (FA)","2","2","100.0","53","0","0","1","0","1","3","3","1","11.0","11.0","2.8%"
"10","Cameron Dicker (LAC)","3","3","100.0","33","0","1","2","0","0","2","2","1","11.0","11.0","71.0%"
"11","Justin Tucker (BAL)","3","3","100.0","42","0","0","2","1","0","1","1","1","11.0","11.0","93.6%"
"12","Tyler Bass (BUF)","2","2","100.0","49","0","0","1","1","0","2","2","1","9.0","9.0","59.2%"
"13","Matt Gay (IND)","1","2","50.0","55","0","0","0","0","1","2","2","1","7.0","7.0","51.6%"
"14","Jason Sanders (MIA)","1","1","100.0","55","0","0","0","0","1","2","2","1","7.0","7.0","63.5%"
"15","Matt Prater (ARI)","2","3","66.7","33","0","0","2","0","0","1","1","1","7.0","7.0","8.8%"
"16","Jason Myers (SEA)","1","1","100.0","27","0","1","0","0","0","3","3","1","6.0","6.0","53.9%"
"17","Greg Joseph (MIN)","1","1","100.0","41","0","0","0","1","0","2","2","1","6.0","6.0","5.2%"
"18","Evan McPherson (CIN)","1","1","100.0","30","0","0","1","0","0","2","3","1","5.0","5.0","77.2%"
"19","Robbie Gould (FA)","0","0","0","0","0","0","0","0","0","5","5","1","5.0","5.0","0.1%"
"20","Greg Zuerlein (NYJ)","1","1","100.0","26","0","1","0","0","0","1","1","1","4.0","4.0","7.1%"
"21","Brandon McManus (JAC)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","50.9%"
"22","Cade York (NYG)","1","1","100.0","26","0","1","0","0","0","1","1","1","4.0","4.0","0.1%"
"23","Graham Gano (NYG)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","11.8%"
"24","Randy Bullock (NYG)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","0.1%"
"25","Chris Boswell (PIT)","0","1","0.0","0","0","0","0","0","0","2","2","1","2.0","2.0","33.2%"
"26","Ryan Succop (FA)","0","1","0.0","0","0","0","0","0","0","1","1","1","1.0","1.0","0.0%"
"27","Michael Palardy (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","33.3%"
""
""
