"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Joe Burrow (CIN)","28","37","75.7","300","8.1","3","0","3","4","25","1","0","1","32.5","32.5","39.5%"
"2","Matt Ryan (FA)","42","58","72.4","389","6.7","3","0","0","1","-4","0","0","1","27.2","27.2","0.0%"
"3","Josh Allen (BUF)","27","40","67.5","329","8.2","3","0","1","12","32","0","1","1","26.4","26.4","100.0%"
"4","Trevor Lawrence (JAC)","20","22","90.9","165","7.5","1","0","4","6","23","2","0","1","24.9","24.9","91.2%"
"5","Marcus Mariota (PHI)","13","14","92.9","129","9.2","2","0","2","6","50","1","0","1","24.2","24.2","0.2%"
"6","Patrick Mahomes II (KC)","25","40","62.5","338","8.5","2","2","3","4","21","0","0","1","21.6","21.6","100.0%"
"7","Teddy Bridgewater (DET)","23","34","67.6","329","9.7","2","2","5","1","10","0","0","1","20.2","20.2","0.1%"
"8","Justin Fields (CHI)","14","27","51.9","190","7.0","1","1","5","12","88","0","0","1","19.4","19.4","86.7%"
"9","Jimmy Garoppolo (LV)","29","41","70.7","296","7.2","2","2","0","3","11","0","0","1","18.9","18.9","2.8%"
"10","Bailey Zappe (NE)","24","34","70.6","309","9.1","2","0","2","3","-4","0","1","1","17.4","17.4","1.9%"
"11","Lamar Jackson (BAL)","17","32","53.1","210","6.6","1","1","2","7","77","0","1","1","17.1","17.1","99.1%"
"12","Jalen Hurts (PHI)","15","25","60.0","155","6.2","2","0","4","9","27","0","0","1","16.9","16.9","100.0%"
"13","Kirk Cousins (MIN)","20","30","66.7","175","5.8","2","0","3","2","-5","0","0","1","16.5","16.5","20.8%"
"14","Kyler Murray (ARI)","23","37","62.2","222","6.0","0","1","6","10","100","0","1","1","15.9","15.9","73.2%"
"15","Russell Wilson (DEN)","15","28","53.6","188","6.7","1","0","4","4","23","0","0","1","13.8","13.8","69.9%"
"16","Tom Brady (FA)","25","40","62.5","243","6.1","1","0","2","1","0","0","0","1","13.7","13.7","0.8%"
"17","Daniel Jones (NYG)","19","27","70.4","173","6.4","2","0","4","6","6","0","1","1","13.5","13.5","19.3%"
"18","Matthew Stafford (LAR)","26","33","78.8","253","7.7","1","1","1","2","-3","0","0","1","12.8","12.8","44.5%"
"19","Geno Smith (SEA)","20","31","64.5","197","6.4","0","0","5","6","48","0","0","1","12.7","12.7","62.4%"
"20","Aaron Rodgers (NYJ)","26","41","63.4","246","6.0","1","0","4","1","0","0","1","1","11.8","11.8","19.8%"
"21","Jacoby Brissett (WAS)","21","45","46.7","266","5.9","1","2","4","1","0","0","1","1","10.6","10.6","0.1%"
"22","Andy Dalton (CAR)","17","32","53.1","162","5.1","1","0","1","0","0","0","0","1","10.5","10.5","0.1%"
"23","Mitch Trubisky (PIT)","9","12","75.0","144","12.0","1","0","1","6","5","0","0","1","10.3","10.3","1.8%"
"24","Justin Herbert (LAC)","37","57","64.9","238","4.2","0","1","2","2","9","0","0","1","9.4","9.4","98.6%"
"25","Kenny Pickett (PIT)","11","18","61.1","67","3.7","1","0","1","2","16","0","0","1","8.3","8.3","17.1%"
"26","Cooper Rush (DAL)","18","38","47.4","181","4.8","1","3","0","0","0","0","0","1","8.2","8.2","0.1%"
"27","Zach Wilson (NYJ)","10","18","55.6","110","6.1","0","0","2","5","1","0","0","1","4.5","4.5","3.4%"
"28","Skylar Thompson (MIA)","7","13","53.8","89","6.8","0","0","1","1","9","0","0","1","4.5","4.5","0.0%"
"29","Carson Wentz (LAR)","12","22","54.5","99","4.5","0","0","3","2","2","0","0","1","4.2","4.2","0.2%"
"30","P.J. Walker (CLE)","10","16","62.5","60","3.8","0","0","2","1","-1","0","0","1","2.3","2.3","0.6%"
"31","Jacob Eason (FA)","3","5","60.0","59","11.8","0","1","0","0","0","0","0","1","1.4","1.4","0.0%"
"32","Jordan Love (GB)","2","4","50.0","8","2.0","0","0","0","0","0","0","0","1","0.3","0.3","72.8%"
""
""
