"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Washington Commanders (WAS)","5","2","0","0","1","0","0","1","19.0","19.0","18.0%"
"2","Baltimore Ravens (BAL)","4","2","1","1","0","0","0","1","17.0","17.0","84.7%"
"3","New England Patriots (NE)","4","0","0","0","0","0","1","1","17.0","17.0","29.1%"
"4","Dallas Cowboys (DAL)","7","0","1","1","0","0","0","1","16.0","16.0","96.5%"
"5","Atlanta Falcons (ATL)","4","1","0","0","0","0","1","1","12.0","12.0","49.4%"
"6","Detroit Lions (DET)","2","2","1","1","0","0","0","1","11.0","11.0","32.8%"
"7","San Francisco 49ers (SF)","3","2","0","1","0","0","0","1","11.0","11.0","94.9%"
"8","New York Jets (NYJ)","6","0","0","0","0","0","0","1","10.0","10.0","72.7%"
"9","Carolina Panthers (CAR)","3","1","0","0","0","0","0","1","9.0","9.0","6.4%"
"10","Kansas City Chiefs (KC)","5","1","1","1","0","0","0","1","9.0","9.0","72.9%"
"11","Indianapolis Colts (IND)","3","0","2","3","0","0","0","1","8.0","8.0","33.2%"
"12","Philadelphia Eagles (PHI)","4","0","1","1","0","0","0","1","7.0","7.0","62.1%"
"13","Las Vegas Raiders (LV)","3","0","0","1","0","0","0","1","6.0","6.0","9.8%"
"14","New Orleans Saints (NO)","4","0","0","0","0","0","0","1","5.0","5.0","60.5%"
"15","Green Bay Packers (GB)","3","1","0","0","0","0","0","1","5.0","5.0","54.0%"
"16","Buffalo Bills (BUF)","1","0","1","0","0","0","0","1","5.0","5.0","74.0%"
"17","Tennessee Titans (TEN)","1","0","0","1","0","0","0","1","4.0","4.0","8.3%"
"18","Chicago Bears (CHI)","0","0","2","1","0","0","0","1","4.0","4.0","3.9%"
"19","Los Angeles Rams (LAR)","4","0","0","0","0","0","0","1","4.0","4.0","22.6%"
"20","Pittsburgh Steelers (PIT)","2","2","0","0","0","0","0","1","2.0","2.0","89.2%"
"21","Los Angeles Chargers (LAC)","1","0","1","2","0","0","0","1","2.0","2.0","30.2%"
"22","Houston Texans (HOU)","0","0","0","0","0","0","0","1","1.0","1.0","54.5%"
"23","Denver Broncos (DEN)","1","0","0","0","0","0","0","1","1.0","1.0","23.5%"
"24","Cleveland Browns (CLE)","2","0","0","0","0","0","0","1","1.0","1.0","82.1%"
"25","Cincinnati Bengals (CIN)","2","0","0","0","0","0","0","1","1.0","1.0","19.4%"
"26","New York Giants (NYG)","0","0","0","1","0","0","0","1","-1.0","-1.0","6.3%"
"27","Minnesota Vikings (MIN)","0","0","0","0","0","0","0","1","-4.0","-4.0","26.2%"
"28","Arizona Cardinals (ARI)","0","0","0","0","0","0","0","1","-4.0","-4.0","1.0%"
""
""
