"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Nick Folk (TEN)","4","4","100.0","49","0","1","0","3","0","2","2","1","17.0","17.0","33.1%"
"2","Ryan Succop (FA)","3","4","75.0","50","0","1","1","0","1","1","1","1","12.0","12.0","0.0%"
"3","Riley Patterson (DET)","2","3","66.7","48","0","0","0","2","0","3","3","1","11.0","11.0","42.8%"
"4","Justin Tucker (BAL)","2","2","100.0","41","0","0","1","1","0","3","3","1","10.0","10.0","93.6%"
"5","Greg Zuerlein (NYJ)","2","2","100.0","53","0","1","0","0","1","2","2","1","10.0","10.0","7.1%"
"6","Greg Joseph (MIN)","2","2","100.0","28","0","2","0","0","0","2","2","1","8.0","8.0","5.2%"
"7","Jason Myers (SEA)","1","1","100.0","49","0","0","0","1","0","4","4","1","8.0","8.0","53.9%"
"8","Cameron Dicker (LAC)","2","2","100.0","37","0","0","2","0","0","2","2","1","8.0","8.0","71.0%"
"9","Daniel Carlson (LV)","2","2","100.0","38","0","0","2","0","0","2","2","1","8.0","8.0","37.9%"
"10","Wil Lutz (DEN)","2","2","100.0","37","0","0","2","0","0","1","1","1","7.0","7.0","15.3%"
"11","Matt Gay (IND)","2","2","100.0","35","0","1","1","0","0","1","1","1","7.0","7.0","51.6%"
"12","Tyler Bass (BUF)","1","2","50.0","51","0","0","0","0","1","2","2","1","7.0","7.0","59.2%"
"13","Joey Slye (WAS)","1","1","100.0","44","0","0","0","1","0","2","2","1","6.0","6.0","1.0%"
"14","Randy Bullock (NYG)","1","1","100.0","44","0","0","0","1","0","2","2","1","6.0","6.0","0.1%"
"15","Evan McPherson (CIN)","0","1","0.0","0","0","0","0","0","0","6","6","1","6.0","6.0","77.2%"
"16","Harrison Butker (KC)","2","3","66.7","28","0","2","0","0","0","0","1","1","6.0","6.0","91.8%"
"17","Cairo Santos (CHI)","1","1","100.0","32","0","0","1","0","0","3","3","1","6.0","6.0","6.5%"
"18","Jason Sanders (MIA)","0","1","0.0","0","0","0","0","0","0","5","5","1","5.0","5.0","63.5%"
"19","Younghoe Koo (ATL)","1","2","50.0","29","0","1","0","0","0","2","2","1","5.0","5.0","52.5%"
"20","Ka'imi Fairbairn (HOU)","1","1","100.0","30","0","0","1","0","0","2","2","1","5.0","5.0","2.4%"
"21","Chase McLaughlin (TB)","1","2","50.0","40","0","0","0","1","0","0","0","1","4.0","4.0","5.1%"
"22","Matt Prater (ARI)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","8.8%"
"23","Mason Crosby (LAR)","1","1","100.0","25","0","1","0","0","0","0","0","1","3.0","3.0","0.1%"
"24","Eddy Pineiro (CAR)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","5.8%"
"25","Jake Elliott (PHI)","0","1","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","87.2%"
"26","Michael Badgley (DET)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","0.0%"
""
""
