"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Trevor Lawrence (JAC)","30","42","71.4","368","8.8","3","0","0","3","7","1","0","1","33.4","33.4","91.2%"
"2","Jalen Hurts (PHI)","21","31","67.7","217","7.0","2","0","4","7","77","1","0","1","30.4","30.4","100.0%"
"3","Russell Wilson (DEN)","23","36","63.9","247","6.9","3","1","6","4","57","0","0","1","26.6","26.6","69.9%"
"4","Jared Goff (DET)","27","39","69.2","330","8.5","3","0","0","2","9","0","0","1","26.1","26.1","82.5%"
"5","Kirk Cousins (MIN)","31","41","75.6","425","10.4","2","0","3","0","0","0","0","1","25.0","25.0","20.8%"
"6","Patrick Mahomes II (KC)","28","42","66.7","352","8.4","3","3","2","3","-3","0","0","1","22.8","22.8","100.0%"
"7","Geno Smith (SEA)","21","36","58.3","264","7.3","3","2","3","3","20","0","0","1","22.6","22.6","62.4%"
"8","Brock Purdy (SF)","16","21","76.2","185","8.8","2","0","0","2","3","1","0","1","21.7","21.7","91.8%"
"9","Josh Allen (BUF)","16","27","59.3","147","5.4","1","0","3","10","47","1","0","1","20.6","20.6","100.0%"
"10","Justin Herbert (LAC)","39","51","76.5","367","7.2","1","0","4","4","8","0","0","1","19.5","19.5","98.6%"
"11","Daniel Jones (NYG)","18","27","66.7","169","6.3","1","0","4","4","26","1","0","1","19.4","19.4","19.3%"
"12","Ryan Tannehill (TEN)","25","38","65.8","254","6.7","2","1","4","2","16","0","1","1","18.8","18.8","1.6%"
"13","Joe Burrow (CIN)","18","33","54.5","239","7.2","2","1","1","6","10","0","0","1","17.6","17.6","39.5%"
"14","Deshaun Watson (CLE)","26","42","61.9","276","6.6","1","1","2","6","33","0","0","1","17.3","17.3","26.1%"
"15","Dak Prescott (DAL)","24","39","61.5","284","7.3","1","2","1","6","23","0","0","1","15.7","15.7","97.5%"
"16","Baker Mayfield (TB)","22","35","62.9","230","6.6","1","0","4","4","10","0","0","1","14.2","14.2","52.1%"
"17","Tua Tagovailoa (MIA)","10","28","35.7","145","5.2","1","0","2","3","28","0","0","1","12.6","12.6","97.0%"
"18","Tom Brady (FA)","34","55","61.8","253","4.6","1","2","0","2","0","0","0","1","12.1","12.1","0.8%"
"19","Mitch Trubisky (PIT)","22","30","73.3","276","9.2","1","3","1","0","0","0","0","1","12.0","12.0","1.8%"
"20","Sam Darnold (SF)","14","24","58.3","120","5.0","1","0","2","4","30","0","0","1","11.8","11.8","0.3%"
"21","Colt McCoy (FA)","27","40","67.5","246","6.2","0","1","6","5","24","0","0","1","11.2","11.2","0.0%"
"22","Mike White (MIA)","27","44","61.4","268","6.1","0","0","3","0","0","0","0","1","10.7","10.7","0.1%"
"23","Tyrod Taylor (NYG)","5","5","100.0","47","9.4","1","0","3","2","40","0","1","1","9.9","9.9","0.7%"
"24","Jeff Driskel (ARI)","4","6","66.7","38","6.3","1","0","0","7","36","0","0","1","9.1","9.1","0.0%"
"25","Mac Jones (NE)","24","35","68.6","235","6.7","0","1","1","5","-1","0","0","1","8.3","8.3","3.8%"
"26","Tyler Huntley (BAL)","8","12","66.7","88","7.3","0","0","1","9","31","0","0","1","6.6","6.6","0.1%"
"27","Davis Mills (HOU)","16","21","76.2","175","8.3","0","1","0","1","2","0","0","1","6.2","6.2","0.0%"
"28","Derek Carr (NO)","11","20","55.0","137","6.9","0","2","0","4","11","0","0","1","4.6","4.6","34.8%"
"29","Brett Rypien (NYJ)","4","8","50.0","16","2.0","1","1","0","1","0","0","0","1","3.6","3.6","0.0%"
"30","Kenny Pickett (PIT)","0","1","0.0","0","0.0","0","0","1","2","16","0","0","1","1.6","1.6","17.1%"
"31","Josh Johnson (BAL)","1","2","50.0","10","5.0","0","0","0","2","3","0","0","1","0.7","0.7","0.0%"
"32","Kyler Murray (ARI)","1","1","100.0","9","9.0","0","0","0","1","3","0","0","1","0.7","0.7","73.2%"
"33","Anthony Brown (FA)","3","5","60.0","16","3.2","0","0","1","3","-5","0","0","1","0.1","0.1","0.0%"
"34","Matt Corral (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Jacoby Brissett (WAS)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"36","Gardner Minshew II (IND)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","19.2%"
"37","Joe Flacco (CLE)","1","3","33.3","1","0.3","0","0","1","0","0","0","1","1","-2.0","-2.0","4.1%"
""
""
