"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Graham Gano (NYG)","4","4","100.0","56","0","0","2","0","2","1","1","1","17.0","17.0","11.8%"
"2","Daniel Carlson (LV)","3","3","100.0","55","0","1","1","0","1","2","2","1","13.0","13.0","37.9%"
"3","Evan McPherson (CIN)","3","3","100.0","50","0","0","0","2","1","0","0","1","13.0","13.0","77.2%"
"4","Brett Maher (FA)","2","2","100.0","54","0","0","0","0","2","2","2","1","12.0","12.0","2.8%"
"5","Tyler Bass (BUF)","2","2","100.0","49","0","0","1","1","0","5","5","1","12.0","12.0","59.2%"
"6","Brandon McManus (JAC)","3","3","100.0","50","0","2","0","0","1","1","1","1","12.0","12.0","50.9%"
"7","Ka'imi Fairbairn (HOU)","3","3","100.0","44","0","1","0","2","0","0","0","1","11.0","11.0","2.4%"
"8","Austin Seibert (FA)","2","2","100.0","48","0","0","1","1","0","4","4","1","11.0","11.0","0.0%"
"9","Eddy Pineiro (CAR)","3","3","100.0","38","0","0","3","0","0","1","1","1","10.0","10.0","5.8%"
"10","Justin Tucker (BAL)","1","1","100.0","51","0","0","0","0","1","5","5","1","10.0","10.0","93.6%"
"11","Mason Crosby (LAR)","2","2","100.0","40","0","1","0","1","0","3","3","1","10.0","10.0","0.1%"
"12","Ryan Succop (FA)","2","2","100.0","47","0","0","0","2","0","2","2","1","10.0","10.0","0.0%"
"13","Matt Ammendola (HOU)","2","2","100.0","31","1","0","1","0","0","3","3","1","9.0","9.0","3.3%"
"14","Robbie Gould (FA)","2","3","66.7","33","0","1","1","0","0","3","3","1","9.0","9.0","0.1%"
"15","Greg Zuerlein (NYJ)","1","1","100.0","57","0","0","0","0","1","4","4","1","9.0","9.0","7.1%"
"16","Chris Boswell (PIT)","2","2","100.0","52","0","0","1","0","1","0","0","1","8.0","8.0","33.2%"
"17","Riley Patterson (DET)","1","1","100.0","52","0","0","0","0","1","3","3","1","8.0","8.0","42.8%"
"18","Matt Gay (IND)","1","1","100.0","20","0","1","0","0","0","4","4","1","7.0","7.0","51.6%"
"19","Cade York (NYG)","1","1","100.0","22","0","1","0","0","0","3","4","1","6.0","6.0","0.1%"
"20","Jake Elliott (PHI)","1","2","50.0","38","0","0","1","0","0","3","3","1","6.0","6.0","87.2%"
"21","Dustin Hopkins (CLE)","1","1","100.0","31","0","0","1","0","0","3","3","1","6.0","6.0","59.2%"
"22","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","6","6","1","6.0","6.0","63.5%"
"23","Nick Folk (TEN)","1","2","50.0","28","0","1","0","0","0","2","2","1","5.0","5.0","33.1%"
"24","Younghoe Koo (ATL)","1","2","50.0","26","0","1","0","0","0","2","2","1","5.0","5.0","52.5%"
"25","Cairo Santos (CHI)","1","1","100.0","44","0","0","0","1","0","1","1","1","5.0","5.0","6.5%"
"26","Wil Lutz (DEN)","1","1","100.0","31","0","0","1","0","0","1","1","1","4.0","4.0","15.3%"
"27","Greg Joseph (MIN)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","5.2%"
"28","Jason Myers (SEA)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","53.9%"
"29","Joey Slye (WAS)","0","0","0","0","0","0","0","0","0","1","2","1","1.0","1.0","1.0%"
"30","Matt Prater (ARI)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","8.8%"
"31","Randy Bullock (NYG)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","0.1%"
"32","Chase McLaughlin (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.1%"
""
""
