"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tony Pollard (DAL)","15","80","5.3","20","1","0","6","6","109","18.2","2","0","1","30.9","30.9","99.8%"
"2","Samaje Perine (DEN)","11","30","2.7","8","0","0","4","4","52","13.0","3","0","1","26.2","26.2","32.8%"
"3","Jamaal Williams (NO)","17","64","3.8","15","0","3","0","0","0","0","0","0","1","24.4","24.4","17.8%"
"4","Najee Harris (PIT)","20","90","4.5","19","0","2","4","6","26","6.5","0","0","1","23.6","23.6","93.6%"
"5","Derrick Henry (TEN)","28","87","3.1","9","0","1","2","2","45","22.5","0","0","1","23.4","23.4","99.8%"
"6","David Montgomery (DET)","17","67","3.9","15","0","1","3","4","54","18.0","0","0","1","18.1","18.1","95.9%"
"7","Ezekiel Elliott (NE)","15","42","2.8","8","0","2","1","1","5","5.0","0","0","1","16.7","16.7","56.3%"
"8","Josh Jacobs (LV)","24","109","4.5","15","0","0","3","4","51","17.0","0","0","1","16.0","16.0","99.6%"
"9","Austin Ekeler (LAC)","19","83","4.4","9","0","1","2","2","17","8.5","0","0","1","16.0","16.0","100.0%"
"10","Devin Singletary (HOU)","18","86","4.8","18","0","1","2","2","11","5.5","0","0","1","15.7","15.7","75.5%"
"11","Jonathan Taylor (IND)","22","84","3.8","28","1","1","3","4","10","3.3","0","1","1","13.4","13.4","95.7%"
"12","Latavius Murray (BUF)","17","49","2.9","12","0","1","4","4","23","5.8","0","0","1","13.2","13.2","15.7%"
"13","James Conner (ARI)","14","42","3.0","14","0","1","2","5","12","6.0","0","0","1","11.4","11.4","90.2%"
"14","Isiah Pacheco (KC)","15","107","7.1","28","1","0","0","0","0","0","0","0","1","10.7","10.7","96.5%"
"15","Christian McCaffrey (SF)","7","39","5.6","20","1","0","7","7","67","9.6","0","0","1","10.6","10.6","100.0%"
"16","Antonio Gibson (WAS)","18","72","4.0","18","0","0","3","3","31","10.3","0","0","1","10.3","10.3","50.0%"
"17","Cordarrelle Patterson (ATL)","10","52","5.2","17","0","0","2","2","7","3.5","0","1","1","9.9","9.9","2.0%"
"18","Damien Harris (BUF)","8","65","8.1","30","3","0","2","2","28","14.0","0","0","1","9.3","9.3","7.2%"
"19","D'Andre Swift (PHI)","5","20","4.0","16","0","1","3","3","12","4.0","0","0","1","9.2","9.2","96.9%"
"20","Matt Breida (NYG)","3","13","4.3","5","0","1","1","1","16","16.0","0","0","1","8.9","8.9","2.6%"
