"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Cairo Santos (CHI)","4","4","100.0","50","0","1","1","1","1","3","3","1","18.0","18.0","6.5%"
"2","Jason Myers (SEA)","3","3","100.0","50","0","0","1","1","1","4","4","1","16.0","16.0","53.9%"
"3","Robbie Gould (FA)","3","3","100.0","50","0","0","1","1","1","2","2","1","14.0","14.0","0.1%"
"4","Randy Bullock (NYG)","4","4","100.0","48","0","2","1","1","0","1","1","1","14.0","14.0","0.1%"
"5","Justin Tucker (BAL)","3","3","100.0","55","0","0","2","0","1","2","2","1","13.0","13.0","93.6%"
"6","Greg Zuerlein (NYJ)","3","3","100.0","45","0","0","1","2","0","1","1","1","12.0","12.0","7.1%"
"7","Jason Sanders (MIA)","3","3","100.0","47","0","1","0","2","0","1","1","1","12.0","12.0","63.5%"
"8","Graham Gano (NYG)","3","3","100.0","34","0","0","3","0","0","2","2","1","11.0","11.0","11.8%"
"9","Wil Lutz (DEN)","2","2","100.0","45","0","1","0","1","0","4","4","1","11.0","11.0","15.3%"
"10","Joey Slye (WAS)","3","4","75.0","31","1","1","1","0","0","2","2","1","11.0","11.0","1.0%"
"11","Daniel Carlson (LV)","1","1","100.0","50","0","0","0","0","1","5","5","1","10.0","10.0","37.9%"
"12","Rodrigo Blankenship (FA)","2","2","100.0","50","0","1","0","0","1","2","3","1","10.0","10.0","0.1%"
"13","Ka'imi Fairbairn (HOU)","2","3","66.7","55","0","0","1","0","1","2","2","1","10.0","10.0","2.4%"
"14","Cade York (NYG)","2","3","66.7","41","0","0","1","1","0","2","2","1","9.0","9.0","0.1%"
"15","Michael Badgley (DET)","2","2","100.0","53","0","0","0","1","1","0","0","1","9.0","9.0","0.0%"
"16","Chase McLaughlin (TB)","1","1","100.0","50","0","0","0","0","1","1","1","1","6.0","6.0","5.1%"
"17","Harrison Butker (KC)","0","1","0.0","0","0","0","0","0","0","6","6","1","6.0","6.0","91.8%"
"18","Younghoe Koo (ATL)","1","1","100.0","43","0","0","0","1","0","2","2","1","6.0","6.0","52.5%"
"19","Brett Maher (FA)","1","1","100.0","22","0","1","0","0","0","3","3","1","6.0","6.0","2.8%"
"20","Chris Boswell (PIT)","1","1","100.0","45","0","0","0","1","0","1","1","1","5.0","5.0","33.2%"
"21","Evan McPherson (CIN)","0","0","0","0","0","0","0","0","0","5","5","1","5.0","5.0","77.2%"
"22","Brandon McManus (JAC)","1","2","50.0","44","0","0","0","1","0","0","1","1","4.0","4.0","50.9%"
"23","Riley Patterson (DET)","1","1","100.0","27","0","1","0","0","0","0","1","1","3.0","3.0","42.8%"
"24","Mason Crosby (LAR)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.1%"
"25","Taylor Bertolet (FA)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.0%"
"26","Eddy Pineiro (CAR)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","5.8%"
"27","Ryan Succop (FA)","1","1","100.0","27","0","1","0","0","0","0","0","1","3.0","3.0","0.0%"
"28","Nick Folk (TEN)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","33.1%"
""
""
