"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Fields (CHI)","17","28","60.7","123","4.4","3","0","2","15","178","1","0","1","42.7","42.7","86.7%"
"2","Patrick Mahomes II (KC)","43","68","63.2","446","6.6","1","1","4","6","63","1","0","1","35.1","35.1","100.0%"
"3","Josh Allen (BUF)","18","34","52.9","205","6.0","0","2","5","9","86","2","0","1","26.8","26.8","100.0%"
"4","Tua Tagovailoa (MIA)","21","30","70.0","302","10.1","3","0","0","5","0","0","0","1","24.1","24.1","97.0%"
"5","Geno Smith (SEA)","26","34","76.5","275","8.1","2","1","2","6","38","0","0","1","21.8","21.8","62.4%"
"6","Jalen Hurts (PHI)","21","27","77.8","243","9.0","2","0","4","9","23","0","1","1","20.0","20.0","100.0%"
"7","Joe Burrow (CIN)","22","28","78.6","206","7.4","1","0","1","4","9","1","0","1","19.1","19.1","39.5%"
"8","Kyler Murray (ARI)","25","35","71.4","175","5.0","2","0","5","8","60","0","1","1","19.0","19.0","73.2%"
"9","Derek Carr (NO)","21","36","58.3","259","7.2","2","0","2","0","0","0","0","1","18.4","18.4","34.8%"
"10","Lamar Jackson (BAL)","12","22","54.5","133","6.0","1","0","3","11","82","0","0","1","17.5","17.5","99.1%"
"11","Kirk Cousins (MIN)","22","40","55.0","265","6.6","2","1","2","2","-2","0","0","1","17.4","17.4","20.8%"
"12","Trevor Lawrence (JAC)","25","31","80.6","235","7.6","1","0","0","6","53","0","1","1","16.7","16.7","91.2%"
"13","Aaron Rodgers (NYJ)","23","43","53.5","291","6.8","1","3","1","4","40","0","0","1","16.6","16.6","19.8%"
"14","Tom Brady (FA)","36","58","62.1","280","4.8","1","0","1","0","0","0","0","1","15.2","15.2","0.8%"
"15","Taylor Heinicke (ATL)","15","28","53.6","149","5.3","2","1","3","4","17","0","0","1","14.7","14.7","3.0%"
"16","Baker Mayfield (TB)","14","20","70.0","155","7.8","2","0","0","0","0","0","0","1","14.2","14.2","52.1%"
"17","Davis Mills (HOU)","13","22","59.1","154","7.0","2","2","3","3","18","0","0","1","14.0","14.0","0.0%"
"18","Justin Herbert (LAC)","30","43","69.8","245","5.7","1","1","0","1","3","0","0","1","13.1","13.1","98.6%"
"19","Jared Goff (DET)","14","26","53.8","137","5.3","2","1","0","1","-1","0","0","1","12.4","12.4","82.5%"
"20","Andy Dalton (CAR)","19","29","65.5","210","7.2","1","1","4","2","5","0","0","1","11.9","11.9","0.1%"
"21","Zach Wilson (NYJ)","18","25","72.0","154","6.2","1","0","2","5","24","0","1","1","10.6","10.6","3.4%"
"22","Matthew Stafford (LAR)","13","27","48.1","165","6.1","1","0","4","2","-1","0","0","1","10.5","10.5","44.5%"
"23","Mac Jones (NE)","20","30","66.7","147","4.9","1","0","4","1","-2","0","0","1","9.7","9.7","3.8%"
"24","Marcus Mariota (PHI)","12","23","52.2","129","5.6","0","0","2","5","24","0","0","1","7.6","7.6","0.2%"
"25","Malik Willis (TEN)","5","16","31.3","80","5.0","0","0","3","8","40","0","0","1","7.2","7.2","0.1%"
"26","Sam Ehlinger (IND)","15","29","51.7","103","3.6","0","1","9","5","39","0","0","1","7.0","7.0","0.0%"
"27","Brandon Allen (SF)","3","3","100.0","22","7.3","0","0","1","3","-1","0","0","1","0.8","0.8","0.0%"
"28","Nick Mullens (MIN)","1","1","100.0","-3","-3.0","0","0","0","0","0","0","0","1","-0.1","-0.1","0.1%"
"29","P.J. Walker (CLE)","3","10","30.0","9","0.9","0","2","0","1","6","0","0","1","-1.0","-1.0","0.6%"
""
""
