"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Tampa Bay Buccaneers (TB)","6","3","2","3","1","0","0","1","26.0","26.0","49.0%"
"2","Jacksonville Jaguars (JAC)","5","3","0","1","0","0","0","1","21.0","21.0","55.5%"
"3","Buffalo Bills (BUF)","2","2","2","0","1","0","0","1","20.0","20.0","74.0%"
"4","Atlanta Falcons (ATL)","1","2","1","1","0","1","1","1","16.0","16.0","49.4%"
"5","San Francisco 49ers (SF)","2","2","1","0","0","0","0","1","15.0","15.0","94.9%"
"6","Philadelphia Eagles (PHI)","2","3","0","1","0","0","0","1","12.0","12.0","62.1%"
"7","Kansas City Chiefs (KC)","2","1","0","0","1","0","0","1","10.0","10.0","72.9%"
"8","Green Bay Packers (GB)","3","1","0","0","0","0","0","1","9.0","9.0","54.0%"
"9","Seattle Seahawks (SEA)","1","0","0","1","0","0","1","1","9.0","9.0","22.0%"
"10","Arizona Cardinals (ARI)","1","0","1","2","1","0","0","1","9.0","9.0","1.0%"
"11","Detroit Lions (DET)","5","1","0","1","0","1","0","1","9.0","9.0","32.8%"
"12","Los Angeles Rams (LAR)","3","2","1","1","0","0","0","1","9.0","9.0","22.6%"
"13","New England Patriots (NE)","3","1","1","0","0","0","0","1","8.0","8.0","29.1%"
"14","New York Giants (NYG)","2","0","2","2","0","0","0","1","7.0","7.0","6.3%"
"15","Dallas Cowboys (DAL)","6","0","0","1","0","0","0","1","7.0","7.0","96.5%"
"16","Baltimore Ravens (BAL)","1","2","0","0","0","0","1","1","7.0","7.0","84.7%"
"17","Denver Broncos (DEN)","3","0","0","2","0","0","0","1","7.0","7.0","23.5%"
"18","Minnesota Vikings (MIN)","3","1","0","0","0","0","0","1","7.0","7.0","26.2%"
"19","Houston Texans (HOU)","3","1","0","0","0","0","0","1","6.0","6.0","54.5%"
"20","Chicago Bears (CHI)","3","0","1","0","0","0","0","1","5.0","5.0","3.9%"
"21","Cincinnati Bengals (CIN)","1","0","1","1","0","0","0","1","4.0","4.0","19.4%"
"22","Carolina Panthers (CAR)","3","0","0","0","0","0","0","1","4.0","4.0","6.4%"
"23","New Orleans Saints (NO)","1","0","1","0","0","0","0","1","4.0","4.0","60.5%"
"24","Las Vegas Raiders (LV)","1","1","0","0","0","0","0","1","3.0","3.0","9.8%"
"25","Pittsburgh Steelers (PIT)","0","1","0","0","0","0","0","1","3.0","3.0","89.2%"
"26","Cleveland Browns (CLE)","2","0","1","2","0","0","0","1","3.0","3.0","82.1%"
"27","New York Jets (NYJ)","1","1","0","0","0","0","0","1","2.0","2.0","72.7%"
"28","Los Angeles Chargers (LAC)","1","0","0","0","0","0","0","1","1.0","1.0","30.2%"
"29","Indianapolis Colts (IND)","0","0","0","0","0","0","0","1","0.0","0.0","33.2%"
"30","Washington Commanders (WAS)","3","0","0","0","0","0","0","1","-1.0","-1.0","18.0%"
"31","Tennessee Titans (TEN)","1","0","0","0","0","0","0","1","-3.0","-3.0","8.3%"
"32","Miami Dolphins (MIA)","0","0","0","0","0","0","0","1","-4.0","-4.0","91.7%"
""
""
