"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Joey Slye (WAS)","4","4","100.0","58","0","0","1","1","2","2","2","1","19.0","19.0","1.0%"
"2","Eddy Pineiro (CAR)","4","4","100.0","49","0","0","1","3","0","1","2","1","16.0","16.0","5.8%"
"3","Tyler Bass (BUF)","3","3","100.0","45","0","1","1","1","0","3","3","1","13.0","13.0","59.2%"
"4","Cameron Dicker (LAC)","3","3","100.0","47","0","1","0","2","0","1","1","1","12.0","12.0","71.0%"
"5","Ka'imi Fairbairn (HOU)","3","3","100.0","46","0","0","2","1","0","1","1","1","11.0","11.0","2.4%"
"6","Robbie Gould (FA)","3","3","100.0","26","0","3","0","0","0","1","2","1","10.0","10.0","0.1%"
"7","Tristan Vizcaino (FA)","2","2","100.0","46","0","0","1","1","0","3","3","1","10.0","10.0","0.3%"
"8","Jason Sanders (MIA)","2","2","100.0","39","0","0","2","0","0","3","5","1","9.0","9.0","63.5%"
"9","Greg Joseph (MIN)","2","2","100.0","33","0","1","1","0","0","3","4","1","9.0","9.0","5.2%"
"10","Chase McLaughlin (TB)","2","3","66.7","48","0","0","0","2","0","1","1","1","9.0","9.0","5.1%"
"11","Matthew Wright (NE)","2","4","50.0","33","0","0","2","0","0","2","2","1","8.0","8.0","0.0%"
"12","Michael Badgley (DET)","1","1","100.0","25","0","1","0","0","0","4","4","1","7.0","7.0","0.0%"
"13","Graham Gano (NYG)","1","1","100.0","49","0","0","0","1","0","3","3","1","7.0","7.0","11.8%"
"14","Mason Crosby (LAR)","1","2","50.0","28","0","1","0","0","0","4","4","1","7.0","7.0","0.1%"
"15","Jason Myers (SEA)","1","1","100.0","55","0","0","0","0","1","1","1","1","6.0","6.0","53.9%"
"16","Cairo Santos (CHI)","1","1","100.0","33","0","0","1","0","0","3","4","1","6.0","6.0","6.5%"
"17","Cade York (NYG)","1","1","100.0","37","0","0","1","0","0","2","2","1","5.0","5.0","0.1%"
"18","Randy Bullock (NYG)","1","1","100.0","35","0","0","1","0","0","2","2","1","5.0","5.0","0.1%"
"19","Riley Patterson (DET)","1","3","33.3","35","0","0","1","0","0","2","2","1","5.0","5.0","42.8%"
"20","Matt Gay (IND)","1","1","100.0","36","0","0","1","0","0","2","2","1","5.0","5.0","51.6%"
"21","Wil Lutz (DEN)","1","1","100.0","44","0","0","0","1","0","1","1","1","5.0","5.0","15.3%"
"22","Brett Maher (FA)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","2.8%"
"23","Brandon McManus (JAC)","1","1","100.0","39","0","0","1","0","0","1","1","1","4.0","4.0","50.9%"
"24","Jake Elliott (PHI)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","87.2%"
"25","Younghoe Koo (ATL)","1","1","100.0","33","0","0","1","0","0","0","2","1","3.0","3.0","52.5%"
"26","Harrison Butker (KC)","0","0","0","0","0","0","0","0","0","3","4","1","3.0","3.0","91.8%"
"27","Ryan Succop (FA)","0","1","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.0%"
"28","Daniel Carlson (LV)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","37.9%"
"29","Ramiz Ahmed (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"30","Taylor Bertolet (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
