"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Nick Folk (TEN)","4","4","100.0","46","0","2","1","1","0","2","2","1","15.0","15.0","33.1%"
"2","Justin Tucker (BAL)","4","5","80.0","55","0","3","0","0","1","1","1","1","15.0","15.0","93.6%"
"3","Harrison Butker (KC)","4","4","100.0","32","0","3","1","0","0","2","2","1","14.0","14.0","91.8%"
"4","Jason Sanders (MIA)","3","3","100.0","45","0","1","1","1","0","3","3","1","13.0","13.0","63.5%"
"5","Matthew Wright (NE)","3","3","100.0","52","0","1","0","1","1","1","1","1","13.0","13.0","0.0%"
"6","Jake Elliott (PHI)","2","2","100.0","54","0","0","1","0","1","4","5","1","12.0","12.0","87.2%"
"7","Eddy Pineiro (CAR)","3","3","100.0","42","0","1","1","1","0","2","2","1","12.0","12.0","5.8%"
"8","Graham Gano (NYG)","2","2","100.0","57","0","0","0","1","1","2","2","1","11.0","11.0","11.8%"
"9","Jason Myers (SEA)","2","2","100.0","34","0","1","1","0","0","4","4","1","10.0","10.0","53.9%"
"10","Tyler Bass (BUF)","2","2","100.0","47","0","0","0","2","0","2","3","1","10.0","10.0","59.2%"
"11","Daniel Carlson (LV)","2","3","66.7","36","0","1","1","0","0","4","4","1","10.0","10.0","37.9%"
"12","Caleb Shudak (FA)","3","4","75.0","38","0","1","2","0","0","1","1","1","10.0","10.0","0.0%"
"13","Greg Zuerlein (NYJ)","1","2","50.0","57","0","0","0","0","1","4","4","1","9.0","9.0","7.1%"
"14","Younghoe Koo (ATL)","2","3","66.7","48","0","0","0","2","0","1","1","1","9.0","9.0","52.5%"
"15","Evan McPherson (CIN)","2","2","100.0","47","0","0","1","1","0","2","2","1","9.0","9.0","77.2%"
"16","Mason Crosby (LAR)","2","2","100.0","33","0","1","1","0","0","3","4","1","9.0","9.0","0.1%"
"17","Greg Joseph (MIN)","2","2","100.0","36","0","0","2","0","0","3","4","1","9.0","9.0","5.2%"
"18","Riley Patterson (DET)","2","2","100.0","29","0","2","0","0","0","2","2","1","8.0","8.0","42.8%"
"19","Joey Slye (WAS)","2","2","100.0","45","0","0","1","1","0","1","2","1","8.0","8.0","1.0%"
"20","Robbie Gould (FA)","2","2","100.0","46","0","1","0","1","0","1","1","1","8.0","8.0","0.1%"
"21","Cade York (NYG)","1","2","50.0","51","0","0","0","0","1","2","2","1","7.0","7.0","0.1%"
"22","Matt Prater (ARI)","1","2","50.0","43","0","0","0","1","0","3","3","1","7.0","7.0","8.8%"
"23","Chase McLaughlin (TB)","1","2","50.0","51","0","0","0","0","1","2","2","1","7.0","7.0","5.1%"
"24","Michael Badgley (DET)","1","2","50.0","51","0","0","0","0","1","2","2","1","7.0","7.0","0.0%"
"25","Ryan Succop (FA)","1","1","100.0","42","0","0","0","1","0","2","2","1","6.0","6.0","0.0%"
"26","Cameron Dicker (LAC)","1","1","100.0","26","0","1","0","0","0","2","2","1","5.0","5.0","71.0%"
"27","Matt Gay (IND)","1","1","100.0","47","0","0","0","1","0","1","1","1","5.0","5.0","51.6%"
"28","Brandon McManus (JAC)","1","2","50.0","27","0","1","0","0","0","1","1","1","4.0","4.0","50.9%"
"29","Brett Maher (FA)","0","1","0.0","0","0","0","0","0","0","4","4","1","4.0","4.0","2.8%"
"30","Cairo Santos (CHI)","1","1","100.0","22","0","1","0","0","0","1","1","1","4.0","4.0","6.5%"
"31","Ka'imi Fairbairn (HOU)","1","1","100.0","28","0","1","0","0","0","0","0","1","3.0","3.0","2.4%"
"32","Wil Lutz (DEN)","0","1","0.0","0","0","0","0","0","0","0","0","1","0.0","0.0","15.3%"
"33","Michael Palardy (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","33.3%"
"34","Randy Bullock (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
""
""
