"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyler Conklin (NYJ)","6","10","79","13.2","27","1","2","0","0","0","0","1","19.9","19.9","20.0%"
"2","Kyle Pitts (ATL)","5","9","80","16.0","33","3","1","0","0","0","0","1","14.0","14.0","81.5%"
"3","Isaiah Likely (BAL)","6","7","77","12.8","17","0","1","0","0","0","0","1","13.7","13.7","38.8%"
"4","Evan Engram (JAC)","4","6","55","13.8","22","1","1","0","0","0","0","1","11.5","11.5","94.9%"
"5","George Kittle (SF)","3","5","39","13.0","23","1","1","0","0","0","0","1","9.9","9.9","99.7%"
"6","Mike Gesicki (NE)","3","4","38","12.7","20","1","1","0","0","0","0","1","9.8","9.8","3.3%"
"7","Zach Ertz (FA)","4","5","34","8.5","13","0","1","0","0","0","0","1","9.4","9.4","14.2%"
"8","Greg Dulcich (DEN)","4","5","87","21.8","38","3","0","0","0","0","0","1","8.7","8.7","5.8%"
"9","T.J. Hockenson (MIN)","3","4","80","26.7","58","4","0","0","0","0","0","1","8.0","8.0","99.2%"
"10","Dalton Schultz (HOU)","6","7","74","12.3","30","2","0","0","0","0","0","1","7.4","7.4","80.4%"
"11","Taysom Hill (NO)","1","2","11","11.0","11","0","0","10","61","0","0","1","7.3","7.3","77.0%"
"12","Cole Kmet (CHI)","2","2","11","5.5","10","0","1","0","0","0","0","1","7.1","7.1","82.2%"
"13","Dawson Knox (BUF)","2","3","10","5.0","9","0","1","0","0","0","0","1","7.0","7.0","5.4%"
"14","Dallas Goedert (PHI)","6","6","64","10.7","17","0","0","0","0","0","0","1","6.4","6.4","82.7%"
"15","Johnny Mundt (MIN)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.0%"
"16","Jake Ferguson (DAL)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","87.0%"
"17","Tanner Hudson (CIN)","3","5","58","19.3","27","1","0","0","0","0","0","1","5.8","5.8","4.3%"
