"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Wil Lutz (DEN)","4","4","100.0","37","0","0","4","0","0","2","2","1","14.0","14.0","15.3%"
"2","Ryan Succop (FA)","4","4","100.0","54","0","2","1","0","1","0","0","1","14.0","14.0","0.0%"
"3","Dustin Hopkins (CLE)","4","4","100.0","39","0","0","4","0","0","1","1","1","13.0","13.0","59.2%"
"4","Jason Myers (SEA)","4","4","100.0","39","0","1","3","0","0","1","1","1","13.0","13.0","53.9%"
"5","Brandon McManus (JAC)","3","3","100.0","51","0","1","0","1","1","1","1","1","13.0","13.0","50.9%"
"6","Cade York (NYG)","3","3","100.0","51","0","0","1","1","1","0","0","1","12.0","12.0","0.1%"
"7","Harrison Butker (KC)","2","3","66.7","62","0","0","0","1","1","2","2","1","11.0","11.0","91.8%"
"8","Jake Elliott (PHI)","2","2","100.0","51","0","0","1","0","1","2","2","1","10.0","10.0","87.2%"
"9","Chris Boswell (PIT)","2","2","100.0","55","0","1","0","0","1","2","2","1","10.0","10.0","33.2%"
"10","Greg Zuerlein (NYJ)","2","3","66.7","32","0","1","1","0","0","3","3","1","9.0","9.0","7.1%"
"11","Chase McLaughlin (TB)","2","2","100.0","42","0","1","0","1","0","2","2","1","9.0","9.0","5.1%"
"12","Nick Folk (TEN)","1","2","50.0","19","1","0","0","0","0","5","5","1","8.0","8.0","33.1%"
"13","Justin Tucker (BAL)","2","3","66.7","34","0","1","1","0","0","2","2","1","8.0","8.0","93.6%"
"14","Evan McPherson (CIN)","1","1","100.0","52","0","0","0","0","1","3","3","1","8.0","8.0","77.2%"
"15","Matt Gay (IND)","1","1","100.0","21","0","1","0","0","0","3","3","1","6.0","6.0","51.6%"
"16","Joey Slye (WAS)","2","3","66.7","38","0","1","1","0","0","0","0","1","6.0","6.0","1.0%"
"17","Graham Gano (NYG)","1","1","100.0","34","0","0","1","0","0","3","3","1","6.0","6.0","11.8%"
"18","Tyler Bass (BUF)","1","1","100.0","39","0","0","1","0","0","3","3","1","6.0","6.0","59.2%"
"19","Jason Sanders (MIA)","1","2","50.0","44","0","0","0","1","0","1","1","1","5.0","5.0","63.5%"
"20","Eddy Pineiro (CAR)","1","1","100.0","42","0","0","0","1","0","1","1","1","5.0","5.0","5.8%"
"21","Brett Maher (FA)","1","2","50.0","30","0","0","1","0","0","2","2","1","5.0","5.0","2.8%"
"22","Mason Crosby (LAR)","1","2","50.0","29","0","1","0","0","0","1","1","1","4.0","4.0","0.1%"
"23","Greg Joseph (MIN)","1","1","100.0","34","0","0","1","0","0","1","2","1","4.0","4.0","5.2%"
"24","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","52.5%"
"25","Matt Ammendola (HOU)","1","1","100.0","23","0","1","0","0","0","0","1","1","3.0","3.0","3.3%"
"26","Riley Patterson (DET)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","42.8%"
"27","Robbie Gould (FA)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","0.1%"
"28","Cairo Santos (CHI)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","6.5%"
""
""
