"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Dallas Cowboys (DAL)","5","2","3","4","0","0","0","1","22.0","22.0","96.5%"
"2","Tennessee Titans (TEN)","3","2","1","1","1","0","0","1","19.0","19.0","8.3%"
"3","Arizona Cardinals (ARI)","0","3","0","0","2","0","0","1","17.0","17.0","1.0%"
"4","Kansas City Chiefs (KC)","5","2","1","1","0","1","0","1","13.0","13.0","72.9%"
"5","Miami Dolphins (MIA)","2","3","0","0","0","0","0","1","12.0","12.0","91.7%"
"6","Baltimore Ravens (BAL)","5","0","2","3","0","0","0","1","12.0","12.0","84.7%"
"7","Chicago Bears (CHI)","1","3","1","0","0","0","0","1","10.0","10.0","3.9%"
"8","Las Vegas Raiders (LV)","1","1","0","0","1","0","0","1","10.0","10.0","9.8%"
"9","Green Bay Packers (GB)","1","1","0","0","1","0","0","1","9.0","9.0","54.0%"
"10","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","8.0","8.0","6.4%"
"11","Indianapolis Colts (IND)","2","0","1","0","0","0","0","1","8.0","8.0","33.2%"
"12","Seattle Seahawks (SEA)","3","1","1","2","0","0","0","1","7.0","7.0","22.0%"
"13","New York Jets (NYJ)","1","1","0","0","0","0","0","1","7.0","7.0","72.7%"
"14","New York Giants (NYG)","0","0","1","1","0","0","0","1","5.0","5.0","6.3%"
"15","New England Patriots (NE)","4","1","0","2","0","0","0","1","5.0","5.0","29.1%"
"16","Cleveland Browns (CLE)","3","0","1","1","0","0","0","1","5.0","5.0","82.1%"
"17","Cincinnati Bengals (CIN)","3","0","0","0","0","0","0","1","4.0","4.0","19.4%"
"18","Detroit Lions (DET)","2","0","1","1","0","0","0","1","4.0","4.0","32.8%"
"19","Los Angeles Chargers (LAC)","2","1","1","0","0","1","0","1","4.0","4.0","30.2%"
"20","Denver Broncos (DEN)","3","0","0","0","0","0","0","1","4.0","4.0","23.5%"
"21","Washington Commanders (WAS)","0","0","1","0","0","0","0","1","3.0","3.0","18.0%"
"22","San Francisco 49ers (SF)","1","1","1","0","0","0","0","1","1.0","1.0","94.9%"
"23","New Orleans Saints (NO)","2","0","0","1","0","0","0","1","1.0","1.0","60.5%"
"24","Jacksonville Jaguars (JAC)","1","0","0","0","0","0","0","1","1.0","1.0","55.5%"
"25","Tampa Bay Buccaneers (TB)","1","0","0","0","0","0","0","1","1.0","1.0","49.0%"
"26","Pittsburgh Steelers (PIT)","0","0","0","0","0","0","0","1","1.0","1.0","89.2%"
"27","Houston Texans (HOU)","1","0","0","0","0","0","0","1","0.0","0.0","54.5%"
"28","Atlanta Falcons (ATL)","3","0","0","0","0","0","0","1","-1.0","-1.0","49.4%"
""
""
