"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Miami Dolphins (MIA)","5","2","1","3","1","0","0","1","18.0","18.0","91.7%"
"2","San Francisco 49ers (SF)","1","0","2","2","0","0","0","1","15.0","15.0","94.9%"
"3","Carolina Panthers (CAR)","3","0","2","1","0","0","0","1","11.0","11.0","6.4%"
"4","Kansas City Chiefs (KC)","3","2","0","0","0","0","0","1","11.0","11.0","72.9%"
"5","Pittsburgh Steelers (PIT)","3","1","1","2","0","0","0","1","10.0","10.0","89.2%"
"6","Minnesota Vikings (MIN)","3","0","0","0","0","0","1","1","9.0","9.0","26.2%"
"7","Tennessee Titans (TEN)","1","0","0","0","0","0","0","1","8.0","8.0","8.3%"
"8","Buffalo Bills (BUF)","2","0","2","1","0","1","0","1","8.0","8.0","74.0%"
"9","New York Jets (NYJ)","2","1","0","1","0","0","0","1","8.0","8.0","72.7%"
"10","Houston Texans (HOU)","5","0","1","0","0","0","0","1","7.0","7.0","54.5%"
"11","Washington Commanders (WAS)","1","1","0","0","0","0","0","1","7.0","7.0","18.0%"
"12","Las Vegas Raiders (LV)","3","1","1","0","0","0","0","1","6.0","6.0","9.8%"
"13","Tampa Bay Buccaneers (TB)","4","1","0","0","0","0","0","1","6.0","6.0","49.0%"
"14","Philadelphia Eagles (PHI)","3","2","0","0","0","0","0","1","6.0","6.0","62.1%"
"15","Baltimore Ravens (BAL)","4","0","1","2","0","0","0","1","5.0","5.0","84.7%"
"16","Jacksonville Jaguars (JAC)","1","0","2","3","0","0","0","1","5.0","5.0","55.5%"
"17","Los Angeles Chargers (LAC)","1","1","1","1","0","0","0","1","5.0","5.0","30.2%"
"18","Cincinnati Bengals (CIN)","1","0","0","1","0","0","0","1","5.0","5.0","19.4%"
"19","New Orleans Saints (NO)","1","0","0","0","0","0","0","1","5.0","5.0","60.5%"
"20","Arizona Cardinals (ARI)","4","0","0","1","0","0","0","1","4.0","4.0","1.0%"
"21","Los Angeles Rams (LAR)","0","1","1","0","0","0","0","1","4.0","4.0","22.6%"
"22","Cleveland Browns (CLE)","3","0","0","0","0","0","0","1","4.0","4.0","82.1%"
"23","Detroit Lions (DET)","3","1","0","0","0","0","0","1","4.0","4.0","32.8%"
"24","Dallas Cowboys (DAL)","3","0","0","1","0","0","0","1","4.0","4.0","96.5%"
"25","New York Giants (NYG)","0","2","0","0","0","0","0","1","3.0","3.0","6.3%"
"26","Atlanta Falcons (ATL)","0","1","0","0","0","0","0","1","3.0","3.0","49.4%"
"27","Indianapolis Colts (IND)","3","0","0","0","0","0","0","1","3.0","3.0","33.2%"
"28","New England Patriots (NE)","1","1","0","0","0","0","0","1","2.0","2.0","29.1%"
"29","Denver Broncos (DEN)","0","0","1","1","0","0","0","1","2.0","2.0","23.5%"
"30","Seattle Seahawks (SEA)","1","2","0","0","0","0","0","1","1.0","1.0","22.0%"
"31","Chicago Bears (CHI)","1","0","0","0","0","0","0","1","0.0","0.0","3.9%"
"32","Green Bay Packers (GB)","2","0","1","1","0","0","0","1","0.0","0.0","54.0%"
""
""
