"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Joe Burrow (CIN)","34","42","81.0","481","11.5","3","0","3","3","20","1","0","1","39.2","39.2","39.5%"
"2","Andy Dalton (CAR)","30","47","63.8","361","7.7","4","3","0","4","21","0","0","1","29.5","29.5","0.1%"
"3","Daniel Jones (NYG)","19","30","63.3","202","6.7","1","0","1","11","107","1","0","1","28.8","28.8","19.3%"
"4","Patrick Mahomes II (KC)","25","34","73.5","423","12.4","3","1","1","0","0","0","0","1","27.9","27.9","100.0%"
"5","Justin Fields (CHI)","13","21","61.9","179","8.5","1","1","4","14","82","1","0","1","24.4","24.4","86.7%"
"6","Davis Mills (HOU)","28","41","68.3","302","7.4","2","1","1","0","0","0","0","1","19.1","19.1","0.0%"
"7","Trevor Lawrence (JAC)","22","43","51.2","310","7.2","0","0","0","4","3","1","0","1","18.7","18.7","91.2%"
"8","Justin Herbert (LAC)","33","51","64.7","293","5.7","2","1","3","3","22","0","1","1","18.1","18.1","98.6%"
"9","Jimmy Garoppolo (LV)","25","37","67.6","303","8.2","2","1","5","2","2","0","1","1","17.3","17.3","2.8%"
"10","Kyler Murray (ARI)","20","29","69.0","204","7.0","1","0","2","7","30","0","0","1","17.2","17.2","73.2%"
"11","Tua Tagovailoa (MIA)","21","35","60.0","261","7.5","1","0","0","4","15","0","0","1","15.9","15.9","97.0%"
"12","Aaron Rodgers (NYJ)","23","35","65.7","194","5.5","2","0","0","0","0","0","0","1","15.8","15.8","19.8%"
"13","Taylor Heinicke (ATL)","20","33","60.6","201","6.1","2","1","1","2","4","0","0","1","15.4","15.4","3.0%"
"14","P.J. Walker (CLE)","16","22","72.7","177","8.0","2","0","1","0","0","0","0","1","15.1","15.1","0.6%"
"15","Geno Smith (SEA)","20","27","74.1","210","7.8","2","1","2","4","7","0","1","1","14.1","14.1","62.4%"
"16","Derek Carr (NO)","21","27","77.8","241","8.9","1","0","1","3","-1","0","0","1","13.5","13.5","34.8%"
"17","Kenny Pickett (PIT)","32","44","72.7","257","5.8","1","3","2","3","20","0","0","1","13.3","13.3","17.1%"
"18","Dak Prescott (DAL)","19","25","76.0","207","8.3","1","0","2","3","0","0","0","1","12.3","12.3","97.5%"
"19","Marcus Mariota (PHI)","8","13","61.5","124","9.5","1","0","3","6","31","0","0","1","12.1","12.1","0.2%"
"20","Matt Ryan (FA)","33","44","75.0","243","5.5","1","2","3","1","2","0","0","1","11.9","11.9","0.0%"
"21","Tom Brady (FA)","32","49","65.3","290","5.9","0","0","1","1","1","0","0","1","11.7","11.7","0.8%"
"22","Lamar Jackson (BAL)","9","16","56.3","120","7.5","0","0","3","10","59","0","0","1","10.7","10.7","99.1%"
"23","Jacoby Brissett (WAS)","22","27","81.5","258","9.6","0","0","5","3","18","0","1","1","10.1","10.1","0.1%"
"24","Brett Rypien (NYJ)","24","46","52.2","225","4.9","0","1","1","3","9","0","0","1","8.9","8.9","0.0%"
"25","Bailey Zappe (NE)","14","22","63.6","185","8.4","1","2","1","2","-1","0","1","1","7.3","7.3","1.9%"
"26","Zach Wilson (NYJ)","16","26","61.5","121","4.7","0","0","3","4","24","0","0","1","7.2","7.2","3.4%"
"27","Ryan Tannehill (TEN)","13","20","65.0","132","6.6","0","0","2","4","6","0","1","1","3.9","3.9","1.6%"
"28","Jared Goff (DET)","21","26","80.8","228","8.8","0","2","5","1","4","0","2","1","3.5","3.5","82.5%"
"29","Mac Jones (NE)","3","6","50.0","13","2.2","0","1","0","3","24","0","0","1","1.9","1.9","3.8%"
"30","Brock Purdy (SF)","4","9","44.4","66","7.3","0","1","0","1","1","0","0","1","1.7","1.7","91.8%"
"31","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"32","Chad Henne (FA)","0","2","0.0","0","0.0","0","0","0","3","-3","0","0","1","-0.3","-0.3","0.1%"
""
""
