"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Tommy Tremble (CAR)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.1%"
"57","Irv Smith Jr. (CIN)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.4%"
"58","Noah Togiai (PHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Lawrence Cager (NYG)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Cole Kmet (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","82.2%"
"62","Connor Heyward (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"63","John Bates (WAS)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"64","Isaiah Likely (BAL)","0","4","0","0","0","0","0","0","0","0","0","1","0.0","0.0","38.8%"
"65","Cade Otton (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","34.1%"
"66","Richard Rodgers (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"67","Ryan Griffin (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Stephen Anderson (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"69","Eric Saubert (HOU)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Eric Tomlinson (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
