Player,FPTS,FPTS/G,ROST
Josh Jacobs,33.5,33.5,99.6%
Kenneth Walker III,28.7,28.7,96.4%
Austin Ekeler,24.7,24.7,100.0%
Aaron Jones,19.6,19.6,92.5%
Eno Benjamin,19.3,19.3,0.0%
Gus Edwards,18.6,18.6,82.0%
Travis Etienne Jr.,17.9,17.9,99.9%
Ezekiel Elliott,17.7,17.7,56.3%
Raheem Mostert,16.9,16.9,97.7%
Nick Chubb,16.7,16.7,22.3%
Rhamondre Stevenson,15.8,15.8,92.9%
Joe Mixon,15.1,15.1,98.6%
Khalil Herbert,14.7,14.7,60.4%
D'Onta Foreman,14.5,14.5,32.8%
Derrick Henry,13.8,13.8,99.8%
Antonio Gibson,13.7,13.7,50.0%
Saquon Barkley,13.5,13.5,99.9%
Chuba Hubbard,13.3,13.3,69.8%
Breece Hall,13.2,13.2,97.4%
David Montgomery,12.2,12.2,95.9%
Dameon Pierce,11.7,11.7,68.0%
Tyler Allgeier,11.0,11.0,46.9%
Tony Pollard,10.9,10.9,99.8%
Alvin Kamara,10.5,10.5,98.7%
Keaontay Ingram,9.7,9.7,2.0%
Clyde Edwards-Helaire,9.2,9.2,4.5%
Brian Robinson Jr.,8.6,8.6,89.3%
Jonathan Taylor,8.5,8.5,95.7%
Latavius Murray,8.3,8.3,15.7%
Najee Harris,8.0,8.0,93.6%
Michael Carter,7.4,7.4,1.5%
Kareem Hunt,6.8,6.8,55.5%
Jamaal Williams,6.3,6.3,17.8%
Christian McCaffrey,6.2,6.2,100.0%
Dare Ogunbowale,6.2,6.2,0.1%
Jeff Wilson Jr.,5.4,5.4,15.8%
Melvin Gordon III,5.0,5.0,0.1%
Jerick McKinnon,4.8,4.8,23.3%
Isiah Pacheco,4.3,4.3,96.5%
Nyheim Hines,4.3,4.3,0.1%
DeeJay Dallas,4.1,4.1,0.9%
Kyle Juszczyk,3.4,3.4,0.3%
Matt Breida,3.3,3.3,2.6%
Rachaad White,3.2,3.2,95.8%
Craig Reynolds,3.0,3.0,2.0%
Leonard Fournette,2.6,2.6,4.5%
Jaylen Warren,2.4,2.4,83.5%
Mike Boone,2.3,2.3,0.6%
Caleb Huntley,2.2,2.2,0.0%
Mark Ingram II,2.2,2.2,0.0%
Patrick Ricard,2.0,2.0,0.1%
Rex Burkhead,1.9,1.9,10.0%
Chase Edmonds,1.7,1.7,1.1%
AJ Dillon,1.5,1.5,71.7%
Sony Michel,1.3,1.3,0.0%
Damien Harris,1.0,1.0,7.2%
Ty Johnson,0.9,0.9,0.1%
Trestan Ebner,0.8,0.8,0.0%
Samaje Perine,0.8,0.8,32.8%
Ameer Abdullah,0.7,0.7,0.5%
Justice Hill,0.6,0.6,12.4%
JaMycal Hasty,0.6,0.6,0.1%
Kenyan Drake,0.5,0.5,0.1%
Hassan Haskins,0.5,0.5,0.1%
Avery Williams,0.4,0.4,0.0%
J.D. McKissic,0.4,0.4,0.0%
Tyrion Davis-Price,0.4,0.4,0.1%
Dontrell Hilliard,0.4,0.4,0.0%
Deon Jackson,0.3,0.3,1.3%
Justin Jackson,0.2,0.2,0.0%
Zamir White,0.2,0.2,1.3%
Andrew Beck,0.0,0.0,0.0%
Chris Myarick,0.0,0.0,0.0%
D'Ernest Johnson,0.0,0.0,8.1%
Jakob Johnson,0.0,0.0,0.0%
Benny Snell Jr.,0.0,0.0,0.0%
James Robinson,0.0,0.0,0.6%
Troy Hairston II,0.0,0.0,0.0%
Chris Evans,0.0,0.0,0.2%
Nick Bellore,0.0,0.0,7.0%
Brandon Bolden,0.0,0.0,0.1%
Dwayne Washington,0.0,0.0,0.0%
Derek Watt,0.0,0.0,0.0%
Michael Burton,0.0,0.0,0.0%
Isaiah Spiller,-0.5,-0.5,0.2%
Raheem Blackshear,-0.5,-0.5,0.4%
,,,
,,,
