Player,FPTS,FPTS/G,ROST
Rhamondre Stevenson,21.1,21.1,92.9%
Kenyan Drake,18.7,18.7,0.1%
Breece Hall,18.1,18.1,97.4%
Deon Jackson,18.1,18.1,1.3%
Kenneth Walker III,17.0,17.0,96.4%
Leonard Fournette,16.1,16.1,4.5%
Christian McCaffrey,15.8,15.8,100.0%
Saquon Barkley,15.5,15.5,99.9%
Ezekiel Elliott,14.6,14.6,56.3%
Austin Ekeler,14.3,14.3,100.0%
Dalvin Cook,14.3,14.3,23.9%
Miles Sanders,13.2,13.2,51.0%
Joe Mixon,12.8,12.8,98.6%
Alvin Kamara,12.4,12.4,98.7%
Brian Robinson Jr.,12.0,12.0,89.3%
JaMycal Hasty,11.2,11.2,0.1%
Darrell Henderson Jr.,11.2,11.2,10.5%
Najee Harris,10.9,10.9,93.6%
Travis Etienne Jr.,10.8,10.8,99.9%
Devin Singletary,10.7,10.7,75.5%
David Montgomery,8.0,8.0,95.9%
Khalil Herbert,7.4,7.4,60.4%
Nick Chubb,7.0,7.0,22.3%
Eno Benjamin,6.5,6.5,0.0%
Latavius Murray,6.4,6.4,15.7%
Caleb Huntley,5.9,5.9,0.0%
Mark Ingram II,5.7,5.7,0.0%
James Robinson,5.5,5.5,0.6%
Antonio Gibson,5.3,5.3,50.0%
AJ Dillon,5.2,5.2,71.7%
Tony Pollard,5.2,5.2,99.8%
Tyler Allgeier,5.1,5.1,46.9%
Raheem Mostert,4.8,4.8,97.7%
Michael Carter,4.7,4.7,1.5%
Aaron Jones,4.4,4.4,92.5%
Sony Michel,4.2,4.2,0.0%
Kyle Juszczyk,3.3,3.3,0.3%
Clyde Edwards-Helaire,3.3,3.3,4.5%
Phillip Lindsay,3.2,3.2,0.0%
Chase Edmonds,3.1,3.1,1.1%
Jerick McKinnon,3.0,3.0,23.3%
Malcolm Brown,2.8,2.8,0.0%
Kenneth Gainwell,2.5,2.5,23.6%
Rachaad White,2.3,2.3,95.8%
J.D. McKissic,2.0,2.0,0.0%
D'Onta Foreman,1.9,1.9,32.8%
Isiah Pacheco,1.8,1.8,96.5%
Reggie Gilliam,1.8,1.8,0.0%
Samaje Perine,1.6,1.6,32.8%
Boston Scott,1.6,1.6,0.2%
J.K. Dobbins,1.5,1.5,16.3%
Ronnie Rivers,1.4,1.4,0.2%
Kareem Hunt,1.2,1.2,55.5%
Alec Ingold,1.2,1.2,0.1%
Matt Breida,1.1,1.1,2.6%
Keith Smith,1.0,1.0,0.0%
D'Ernest Johnson,0.9,0.9,8.1%
Avery Williams,0.8,0.8,0.0%
James Cook,0.8,0.8,94.3%
Melvin Gordon III,0.8,0.8,0.1%
Keaontay Ingram,0.7,0.7,2.0%
Chuba Hubbard,0.7,0.7,69.8%
Kevin Harris,0.5,0.5,0.1%
Jeff Wilson Jr.,0.5,0.5,15.8%
Pierre Strong Jr.,0.5,0.5,0.8%
Mike Boone,0.4,0.4,0.6%
Alexander Mattison,0.3,0.3,86.3%
C.J. Ham,0.3,0.3,0.1%
Tevin Coleman,0.3,0.3,0.0%
Jaylen Warren,0.2,0.2,83.5%
DeeJay Dallas,0.1,0.1,0.9%
Khari Blasingame,0.0,0.0,0.0%
Andrew Beck,0.0,0.0,0.0%
Ke'Shawn Vaughn,0.0,0.0,0.3%
Cullen Gillaspia,0.0,0.0,0.0%
Travis Homer,0.0,0.0,0.1%
Raheem Blackshear,0.0,0.0,0.4%
John Lovett,0.0,0.0,0.0%
Zander Horvath,0.0,0.0,0.0%
Chris Evans,0.0,0.0,0.2%
Kene Nwangwu,0.0,0.0,0.7%
Gary Brightwell,0.0,0.0,0.3%
Nick Bellore,0.0,0.0,7.0%
Derek Watt,0.0,0.0,0.0%
Patrick Ricard,0.0,0.0,0.1%
Michael Burton,0.0,0.0,0.0%
,,,
,,,
