Player,FPTS,FPTS/G,ROST
Tony Pollard,30.9,30.9,99.8%
Samaje Perine,26.2,26.2,32.8%
Jamaal Williams,24.4,24.4,17.8%
Najee Harris,23.6,23.6,93.6%
Derrick Henry,23.4,23.4,99.8%
David Montgomery,18.1,18.1,95.9%
Ezekiel Elliott,16.7,16.7,56.3%
Josh Jacobs,16.0,16.0,99.6%
Austin Ekeler,16.0,16.0,100.0%
Devin Singletary,15.7,15.7,75.5%
Jonathan Taylor,13.4,13.4,95.7%
Latavius Murray,13.2,13.2,15.7%
James Conner,11.4,11.4,90.2%
Isiah Pacheco,10.7,10.7,96.5%
Christian McCaffrey,10.6,10.6,100.0%
Antonio Gibson,10.3,10.3,50.0%
Cordarrelle Patterson,9.9,9.9,2.0%
Damien Harris,9.3,9.3,7.2%
D'Andre Swift,9.2,9.2,96.9%
Matt Breida,8.9,8.9,2.6%
Alvin Kamara,8.9,8.9,98.7%
James Cook,8.6,8.6,94.3%
Rhamondre Stevenson,8.2,8.2,92.9%
Aaron Jones,8.0,8.0,92.5%
Dontrell Hilliard,7.8,7.8,0.0%
Justin Jackson,7.7,7.7,0.0%
Dalvin Cook,7.2,7.2,23.9%
Melvin Gordon III,7.0,7.0,0.1%
Nick Chubb,6.7,6.7,22.3%
Tyler Allgeier,6.4,6.4,46.9%
Joe Mixon,6.2,6.2,98.6%
Cam Akers,6.1,6.1,20.9%
Elijah Mitchell,5.9,5.9,16.9%
Brian Robinson Jr.,5.7,5.7,89.3%
Kareem Hunt,5.4,5.4,55.5%
Kenyan Drake,5.3,5.3,0.1%
Miles Sanders,4.8,4.8,51.0%
Kyren Williams,4.4,4.4,94.4%
Justice Hill,3.8,3.8,12.4%
Saquon Barkley,3.5,3.5,99.9%
Malik Davis,3.5,3.5,0.1%
Chuba Hubbard,2.5,2.5,69.8%
D'Onta Foreman,2.4,2.4,32.8%
AJ Dillon,2.3,2.3,71.7%
Isaiah Spiller,2.2,2.2,0.2%
Keaontay Ingram,1.9,1.9,2.0%
Michael Carter,1.7,1.7,1.5%
Dameon Pierce,1.7,1.7,68.0%
Jordan Mason,1.4,1.4,0.9%
Raheem Blackshear,1.4,1.4,0.4%
Boston Scott,1.2,1.2,0.2%
Deon Jackson,1.0,1.0,1.3%
James Robinson,1.0,1.0,0.6%
Darrell Henderson Jr.,0.9,0.9,10.5%
Jaylen Warren,0.9,0.9,83.5%
Clyde Edwards-Helaire,0.9,0.9,4.5%
Trestan Ebner,0.8,0.8,0.0%
Alexander Mattison,0.8,0.8,86.3%
David Johnson,0.7,0.7,0.0%
Zack Moss,0.7,0.7,88.5%
Trayveon Williams,0.7,0.7,0.7%
Chase Edmonds,0.6,0.6,1.1%
Caleb Huntley,0.6,0.6,0.0%
Kene Nwangwu,0.6,0.6,0.7%
Dare Ogunbowale,0.5,0.5,0.1%
Ameer Abdullah,0.5,0.5,0.5%
Brandon Bolden,0.4,0.4,0.1%
Patrick Ricard,0.4,0.4,0.1%
Jerick McKinnon,0.4,0.4,23.3%
Kyle Juszczyk,0.4,0.4,0.3%
Ty Johnson,0.4,0.4,0.1%
Zander Horvath,0.3,0.3,0.0%
Sony Michel,0.1,0.1,0.0%
D'Ernest Johnson,0.0,0.0,8.1%
Jakob Johnson,0.0,0.0,0.0%
Patrick Taylor Jr.,0.0,0.0,1.2%
Reggie Gilliam,0.0,0.0,0.0%
Brittain Brown,0.0,0.0,0.0%
Troy Hairston II,0.0,0.0,0.0%
Pierre Strong Jr.,0.0,0.0,0.8%
Hassan Haskins,0.0,0.0,0.1%
Jerome Ford,0.0,0.0,86.9%
Ben Mason,0.0,0.0,0.0%
Gary Brightwell,0.0,0.0,0.3%
Kenneth Gainwell,0.0,0.0,23.6%
Corey Clement,0.0,0.0,0.1%
Jason Cabinda,0.0,0.0,0.0%
Michael Burton,0.0,0.0,0.0%
Mike Davis,-0.3,-0.3,1.0%
Nyheim Hines,-0.8,-0.8,0.1%
Avery Williams,-2.0,-2.0,0.0%
,,,
,,,
